source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,latitude,longitude
25455585,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,ch4,,,field_not_modeled,1320,MW,0.249,2.875e+06,MWh,,,Hubco power station,coal,24.9147,66.6888
25455585,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_20yr,6.989e+06,,,1320,MW,0.249,2.875e+06,MWh,,,Hubco power station,coal,24.9147,66.6888
25455585,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2e_100yr,6.989e+06,,,1320,MW,0.249,2.875e+06,MWh,,,Hubco power station,coal,24.9147,66.6888
25451186,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,n2o,,,field_not_modeled,1640,MW,0.449,6.45e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2,3.904e+06,0.605,T of CO2 per MWh,1640,MW,0.449,6.45e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,ch4,,,field_not_modeled,1640,MW,0.449,6.45e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_20yr,3.904e+06,,,1640,MW,0.449,6.45e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2021,12-31-2021,Yearly,co2e_100yr,3.904e+06,,,1640,MW,0.449,6.45e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,n2o,,,field_not_modeled,2090,MW,0.42,7.693e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
25451186,PAK,electricity-generation,1-1-2022,12-31-2022,Yearly,co2,4.625e+06,0.601,T of CO2 per MWh,2090,MW,0.42,7.693e+06,MWh,,,Bin Qasim power station,"gas, oil, other_fossil",24.7849,67.3603
